Date,Day of Week
1/20/2022,Thursday
1/21/2022,Friday
1/22/2022,Saturday
1/23/2022,Sunday
1/24/2022,Monday
1/25/2022,Tuesday
1/26/2022,Wednesday
1/27/2022,Thursday
1/28/2022,Friday
1/29/2022,Saturday
1/30/2022,Sunday
1/31/2022,Monday
2/1/2022,Tuesday
2/2/2022,Wednesday
2/3/2022,Thursday
2/4/2022,Friday
2/5/2022,Saturday
2/6/2022,Sunday
2/7/2022,Monday
2/8/2022,Tuesday
2/9/2022,Wednesday
2/10/2022,Thursday
2/11/2022,Friday
2/12/2022,Saturday
2/13/2022,Sunday
2/14/2022,Monday
2/15/2022,Tuesday
2/16/2022,Wednesday
2/17/2022,Thursday
2/18/2022,Friday
2/19/2022,Saturday
2/20/2022,Sunday
2/21/2022,Monday
2/22/2022,Tuesday
2/23/2022,Wednesday
2/24/2022,Thursday
2/25/2022,Friday
2/26/2022,Saturday
2/27/2022,Sunday
2/28/2022,Monday
3/1/2022,Tuesday
3/2/2022,Wednesday
3/3/2022,Thursday
3/4/2022,Friday
3/5/2022,Saturday
3/6/2022,Sunday
3/7/2022,Monday
3/8/2022,Tuesday
3/9/2022,Wednesday
3/10/2022,Thursday
3/11/2022,Friday
3/12/2022,Saturday
3/13/2022,Sunday
3/14/2022,Monday
3/15/2022,Tuesday
3/16/2022,Wednesday
3/17/2022,Thursday
3/18/2022,Friday
3/19/2022,Saturday
3/20/2022,Sunday
3/21/2022,Monday
3/22/2022,Tuesday
3/23/2022,Wednesday
3/24/2022,Thursday
3/25/2022,Friday
3/26/2022,Saturday
3/27/2022,Sunday
3/28/2022,Monday
3/29/2022,Tuesday
3/30/2022,Wednesday
3/31/2022,Thursday
4/1/2022,Friday
4/2/2022,Saturday
4/3/2022,Sunday
4/4/2022,Monday
4/5/2022,Tuesday
4/6/2022,Wednesday
4/7/2022,Thursday
4/8/2022,Friday
4/9/2022,Saturday
4/10/2022,Sunday
4/11/2022,Monday
4/12/2022,Tuesday
4/13/2022,Wednesday
4/14/2022,Thursday
4/15/2022,Friday
4/16/2022,Saturday
4/17/2022,Sunday
4/18/2022,Monday
4/19/2022,Tuesday
